Experience,Salary
1.1,39343
1.3,46205
1.4,46068
1.5,39889
1.4,45569
1.4,41012
1.5,38183
1.4,42797
1.5,39964
1.5,39705
1.4,41949
1.4,44964
1.4,40405
1.5,39862
1.3,43456
1.4,39944
1.4,45404
1.3,42996
1.3,45751
1.4,44420
1.5,46070
1.5,45109
1.5,45696
1.5,38264
1.4,46012
1.3,40274
1.3,45919
1.5,40973
1.3,38613
1.4,44531
1.3,40742
1.4,40792
1.5,43570
1.5,43442
1.4,41795
1.4,43718
1.5,39825
1.3,39602
1.5,40062
1.4,41575
1.5,42866
1.4,43275
1.5,39251
1.4,42395
1.3,43842
1.4,45425
1.5,39736
1.5,44003
1.5,43803
1.4,42425
1.5,41291
1.4,45519
1.3,40904
1.3,43302
1.4,40104
1.5,43585
1.5,44360
1.4,40721
1.4,42872
1.3,46173
1.4,44043
1.3,41749
1.4,42360
1.4,38774
1.3,41546
1.3,44661
1.3,39342
1.4,42217
1.4,43837
1.4,43901
1.3,45307
1.4,46061
1.3,40901
1.4,41664
1.3,38365
1.4,43096
1.4,40041
1.5,44714
1.4,38131
1.3,43860
1.4,43255
1.4,40638
1.4,45711
1.4,40718
1.5,42429
1.4,40253
1.4,42456
1.5,45335
1.4,42937
1.4,38222
1.4,43585
1.3,43824
1.4,38044
1.3,43659
1.4,42770
1.4,39164
1.3,44063
1.5,41987
1.3,43619
1.3,44929
1.4,43187
1.4,45411
1.4,43431
1.4,39641
1.5,39084
1.4,43556
1.4,43781
1.4,38767
1.4,38999
1.3,39825
1.4,39932
1.4,44043
1.3,41953
1.4,43490
1.3,40568
1.4,38827
1.4,39819
1.4,38874
1.4,40130
1.5,44579
1.4,40593
1.5,43618
1.4,39764
1.4,46101
1.3,45590
1.5,42573
1.5,37843
1.5,41968
1.4,42959
1.4,45827
1.3,39939
1.4,42955
1.4,44516
1.5,38056
1.4,38013
1.3,40541
1.4,44801
1.3,43031
1.3,44708
1.3,44109
1.3,43435
1.3,37680
1.3,43228
1.4,44906
1.3,42540
1.4,42614
1.4,37978
1.5,40337
1.4,43276
1.4,44978
1.4,44381
1.5,39683
1.3,40911
1.4,42771
1.3,43009
1.4,41906
1.3,44019
1.5,45354
1.4,40292
1.3,42452
1.4,38672
1.4,41540
1.4,44211
1.5,43502
1.5,39785
1.5,39700
1.5,38772
1.5,45235
1.3,45124
1.3,44656
1.4,38638
1.4,45854
1.4,43860
1.3,42510
1.4,38829
1.3,46165
1.3,44156
1.4,43206
1.4,45993
1.3,44222
1.5,45515
1.4,45170
1.4,43685
1.5,44399
1.4,40404
1.5,42437
1.3,37831
1.5,42873
1.3,45753
1.3,42342
1.4,45735
1.4,38378
1.4,43364
1.5,41868
1.4,38181
1.4,39407
1.4,42205
1.5,38495
1.3,45741
1.5,41670
1.3,40557
1.4,38490
1.4,39380
1.5,45593
1.4,40859
1.3,45745
1.4,41607
1.4,46147
1.4,39014
1.4,40273
1.4,45420
1.4,42529
1.4,46143
1.4,40688
1.4,44000
1.5,40578
1.4,38413
1.4,45375
1.5,43980
1.4,41387
1.4,45059
1.4,39636
1.3,45860
1.5,43882
1.3,39856
1.3,37632
1.4,40253
1.5,42241
1.4,41244
1.3,40612
1.5,45813
1.4,44129
1.5,45070
1.3,44745
1.4,43357
1.3,40651
1.5,44445
1.4,42443
1.4,41531
1.4,40836
1.4,43308
1.5,43858
1.4,43926
1.5,39240
1.5,40792
1.4,43180
1.4,45586
1.5,38853
1.4,41404
1.4,40171
1.5,46066
1.4,41951
1.4,43961
1.3,38926
1.4,45339
1.3,43893
1.4,43547
1.4,43571
1.4,38473
1.4,39295
1.5,44211
1.5,43809
1.5,39054
1.4,44908
1.5,42032
1.4,40839
1.4,39366
1.4,40194
1.5,38185
1.4,37968
1.4,43593
1.4,42914
1.4,42858
1.3,43411
1.4,43950
1.4,41466
1.3,42897
1.5,43008
1.4,42765
1.3,45553
1.5,41536
1.3,38448
1.3,41613
1.3,46090
1.5,45447
1.4,44010
1.3,45979
1.5,42108
1.4,38856
1.4,37948
1.5,45222
1.5,39036
1.5,44147
1.4,44936
1.3,42689
1.4,43567
1.4,39929
1.3,39554
1.4,45865
1.4,42285
1.4,43560
1.4,41035
1.5,38488
1.3,44988
1.5,44852
1.4,38187
1.4,44289
1.4,44855
1.4,43023
1.5,40691
1.3,44732
1.5,40206
1.3,40992
1.4,38978
1.3,44837
1.5,38998
1.5,44810
1.4,43040
1.5,38261
1.4,38075
1.4,39420
1.4,45222
1.4,42733
